video_id,video_title,author,comment,cleaned_comment,likes,published_at,car_model,topic
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@carwow,Sell your car for free with Carwow: https://bit.ly/-Sell-Your-Car-For-Free-2907,sell your car for free with carwow :,133,2024-07-29T10:12:23Z,Other,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@andrescardonagutierrez6732,Where’s the Volvo xC90,where ’ s the volvo xc90,0,2026-03-04T21:58:20Z,Volvo,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@johns8702,I can see u only praise bmw .. not good,i can see u only praise bmw .. not good,0,2026-02-25T04:19:54Z,bmw,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@JoelGustafsson-c9x,You said the Audi is better then the Mercedes so it is 2 nd,you said the audi is better then the mercedes so it is 2 nd,0,2026-02-24T22:07:45Z,Audi,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@adriandavies8204,BMW be in the workshop first as well,bmw be in the workshop first a well,0,2026-02-23T09:35:00Z,BMW,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@JoeLinVan,Where is the Lexus?,where is the lexus ?,0,2026-02-21T00:07:55Z,Lexus,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@TheArmory1533,cayenne is a nice ride for the price,cayenne is a nice ride for the price,0,2026-02-20T04:47:28Z,Other,price
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@DJAPO,Porsche #1,porsche # 1,0,2026-02-18T21:36:39Z,Porsche,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@aerotus888,Id rather buy a flat,id rather buy a flat,0,2026-02-16T19:55:41Z,Other,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@Tedptod28,I think it’s just the brands the vw is the best to me,i think it ’ s just the brand the vw is the best to me,0,2026-02-16T17:05:54Z,Other,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@SR-bu6kz,"How is VW more expensive than their “premium” brand, the Audi","how is vw more expensive than their “ premium ” brand , the audi",0,2026-02-15T21:28:49Z,Audi,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@1-1-2robloxentreinenmetjordan,made a video about the W245 B200 turbo,made a video about the w245 b200 turbo,0,2026-02-15T20:22:33Z,Other,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@lukaszjot86,Bmw!! Winner,bmw ! ! winner,0,2026-02-13T16:19:06Z,Bmw,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@WarMatt86,Too bad the Volvo XC90 is missing,too bad the volvo xc90 is missing,0,2026-02-11T17:33:33Z,Volvo,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@j.wagner8639,..I only see one victory: VWAG😅,.. i only see one victory : vwag😅,0,2026-02-10T00:26:06Z,Other,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@aaryan.4p,"cant really compare a x5 with a 17, shouldve been q8 with x5 or q7 with x7","cant really compare a x5 with a 17 , shouldve been q8 with x5 or q7 with x7",0,2026-02-08T11:48:30Z,Other,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@lordstark806,China combine those 6 and build one best SUV based on the ideas,china combine those 6 and build one best suv based on the idea,0,2026-02-07T23:24:07Z,Other,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@Mohsen47,Why ain't toyota in this this video?🤨,why ai n't toyota in this this video ? 🤨,0,2026-02-07T12:53:01Z,toyota,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@simond3226,Why isn't the Volvo XC90 T8 included or the Range Rover Sport ? Would have been great to see a comparison including these two,why is n't the volvo xc90 t8 included or the range rover sport ? would have been great to see a comparison including these two,0,2026-02-07T11:00:14Z,Volvo,range
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@meteb1100,I had a GLE and an XC90 for a couple of weeks to do some l9ng distance ferrying. The XC90 was far more comfortable. I did a 5hr non stop journey and got out without an ache or pain. I did a 3hr stint in the GLE and got out with back and hip ache,i had a gle and an xc90 for a couple of week to do some l9ng distance ferrying . the xc90 wa far more comfortable . i did a 5hr non stop journey and got out without an ache or pain . i did a 3hr stint in the gle and got out with back and hip ache,0,2026-02-04T14:00:35Z,Other,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@Lyfehurts66,Nice..,nice ..,0,2026-02-02T21:58:21Z,Other,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@sporty8383,x5 any day,x5 any day,0,2026-01-29T16:08:14Z,Other,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@kayleecurnow,5:56 lol,5:56 lol,0,2026-01-28T08:25:04Z,Other,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@pluss400,Range Rover sport???,range rover sport ? ? ?,0,2026-01-27T20:29:48Z,Range Rover,range
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@saintetienne755,Is it me or do they all look bland?,is it me or do they all look bland ?,0,2026-01-26T23:49:49Z,Other,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@joshash1997,Any SUV pushing less than 300bhp minimum is pointless,any suv pushing less than 300bhp minimum is pointless,0,2026-01-18T12:55:20Z,Other,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@antoniom5440,Cayenne 100%,cayenne 100 %,0,2026-01-16T13:05:22Z,Other,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@JayEf-1,Imagine testing 3 Tuaregs in the same Video,imagine testing 3 tuareg in the same video,0,2026-01-16T07:59:48Z,Other,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@peterallison290,"I went from a Q7 to a new Touareg and then within a year back to a Q7 (SQ7) that was actually 4 years older than the Touareg. My feelings about the Touareg were the same as Matt's. It didnt feel special, it didnt feel as rock solid, it was coarser sounding and the steering wheel mounted touch controls drove me absolutely insane. Particularly the cruise control. Both my Q7s (including the one I sold at 8yo with nearly 100k kms on it) drove and felt nicer than the Touareg.","i went from a q7 to a new touareg and then within a year back to a q7 ( sq7 ) that wa actually 4 year older than the touareg . my feeling about the touareg were the same a matt 's . it didnt feel special , it didnt feel a rock solid , it wa coarser sounding and the steering wheel mounted touch control drove me absolutely insane . particularly the cruise control . both my q7s ( including the one i sold at 8yo with nearly 100k km on it ) drove and felt nicer than the touareg .",1,2026-01-14T11:46:40Z,Other,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@rajsrivastav6940,watch this channel to end up hating everyone car made in the market.......,watch this channel to end up hating everyone car made in the market .......,0,2026-01-13T08:23:30Z,Other,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@MartinEA40,"Difficult choice there. VW automatically go out. 90k for Touareg , no thank you. Audi Q7 is allready old model ....3 left.  I don't know. They are all 3 nice looking cars  I like the Mercedes ,the Cayenne and the BMW. BMW out for the boot .2 left. Porsche skyrockets their prices last 5 years ,so Mercedes is the winner!","difficult choice there . vw automatically go out . 90k for touareg , no thank you . audi q7 is allready old model .... 3 left . i do n't know . they are all 3 nice looking car i like the mercedes , the cayenne and the bmw . bmw out for the boot .2 left . porsche skyrocket their price last 5 year , so mercedes is the winner !",0,2026-01-11T17:21:21Z,Audi,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@markusrx5446,"U tested the Q7 from Audi, but the X5 and GLE from BMW and Mercedes respectively? Why not the X7 and GLS? Those are the Luxury SUVs from BMW and Mercedes","u tested the q7 from audi , but the x5 and gle from bmw and mercedes respectively ? why not the x7 and gls ? those are the luxury suv from bmw and mercedes",0,2026-01-10T09:23:28Z,Audi,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@tomal28,No Volvo? Shit test.,no volvo ? shit test .,0,2025-12-31T08:32:38Z,Volvo,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@meepcheep314,"The upholstery on the GLE is absolutely disgraceful. The cheapest ""real"" leather I've ever seen",the upholstery on the gle is absolutely disgraceful . the cheapest `` real '' leather i 've ever seen,0,2025-12-29T22:12:22Z,Other,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@ivancornejo113,"Mercedes-Benz, the best or nothing1","mercedes-benz , the best or nothing1",0,2025-12-26T16:09:59Z,Mercedes,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@usmanzahoor-jq2rd,Where is rang rover,where is rang rover,0,2025-12-19T15:52:20Z,Other,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@paulallen9518,How do people afford a 100grand suv? Am I just poor?,how do people afford a 100grand suv ? am i just poor ?,0,2025-12-17T17:57:08Z,Other,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@frankl31436,"Buy the BMW.  The B58 I6 engine in this diesel form will run forever. The B58 gas version is also bulletproof.   Based on USA Consumer Reports 2025-2026 rankings, which include reliability, BMW almost tied Subaru for #1. BMW was #1 in the luxury category.  The only one close in reliability, in this group, is the Porsche but the Porsche parts cost more than gold.","buy the bmw . the b58 i6 engine in this diesel form will run forever . the b58 gas version is also bulletproof . based on usa consumer report 2025-2026 ranking , which include reliability , bmw almost tied subaru for # 1 . bmw wa # 1 in the luxury category . the only one close in reliability , in this group , is the porsche but the porsche part cost more than gold .",0,2025-12-17T00:02:02Z,BMW,reliability
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@JobethJoven,"I adore the BMW. Before my husband gave me a Cayenne and I fell in love, it was my ideal vehicle.","i adore the bmw . before my husband gave me a cayenne and i fell in love , it wa my ideal vehicle .",1,2025-11-20T08:55:17Z,BMW,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@moritz9077,"20% straight for the government, the biggest winner of every sale","20 % straight for the government , the biggest winner of every sale",0,2025-11-19T21:23:09Z,Other,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@Janis.Bruveris,In EU  Treg is from 54k €😊,in eu treg is from 54k €😊,0,2025-11-17T20:30:03Z,Other,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@Janis.Bruveris,And where is Lexus rx? 😂,and where is lexus rx ? 😂,0,2025-11-17T20:21:36Z,Lexus,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@salary_rezaeian,BMW😍🤌🏻,bmw😍🤌🏻,0,2025-11-17T00:58:24Z,BMW,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@ucpt8234,Q7 c es plutôt mercedes GLS,q7 c e plutôt mercedes gls,0,2025-11-16T22:17:24Z,mercedes,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@CVO_MAN,No Alfa Romeo Stelvio? C'mon...,no alfa romeo stelvio ? c'mon ...,1,2025-11-16T06:17:54Z,Other,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@IanBrandley,heeey Audi isnt just meeh😭😭😭,heeey audi isnt just meeh😭😭😭,0,2025-11-09T13:11:25Z,Audi,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@earlisking,"Carwow, you should incorporate short and long term reliability into your comparisons.","carwow , you should incorporate short and long term reliability into your comparison .",0,2025-11-06T23:48:10Z,Other,reliability
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@richardbrown578,"Lol! You can't pretend well enough.  You are definitely interesting to watch, and your personal preference is the Audi. You have always emblemish the Audi negatives while emphasizing on the negatives of the others. You are still making interesting reviews! In the end, nevertheless, I agree with your number 1 choice 💯👍","lol ! you ca n't pretend well enough . you are definitely interesting to watch , and your personal preference is the audi . you have always emblemish the audi negative while emphasizing on the negative of the others . you are still making interesting review ! in the end , nevertheless , i agree with your number 1 choice 💯👍",0,2025-11-02T18:16:32Z,Audi,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@otaku-nostalgie,TOUAREG IS MY DREAM CAR 🤤,touareg is my dream car 🤤,0,2025-10-31T04:48:40Z,Other,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@GTschumacher,He just loves the BMW's,he just love the bmw 's,1,2025-10-29T22:09:17Z,BMW,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@mrwolfger,"Mercedes's 450d vs BMW's 40d, Which diesel engine is quieter?","mercedes 's 450d v bmw 's 40d , which diesel engine is quieter ?",0,2025-10-29T14:27:40Z,Mercedes,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@nokuthulakumalo9665,Always BMW wins 😅,always bmw win 😅,0,2025-10-27T15:41:47Z,BMW,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@AndreasKatsaras,"Anyone who pays more than 50K on any car must have money to throw down the drain, be mad or incredibly stupid","anyone who pay more than 50k on any car must have money to throw down the drain , be mad or incredibly stupid",0,2025-10-26T15:52:14Z,Other,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@SahibdeepBhogal-b1d,I have a gle 450  best car BMW suck,i have a gle 450 best car bmw suck,0,2025-10-26T15:06:58Z,BMW,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@fess749,"You’re a car guy, stop,saying Porsh.","you ’ re a car guy , stop , saying porsh .",0,2025-10-26T04:07:35Z,Other,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@prostokrasavchik8837,"Get a Tesla with FSD and let it drive for you. The rest of the cars don't have anything to offer, they are the same, slightly different exterior, slightly different interior, period. Who on earth needs soft closing doors??? Is this your requirement for a luxury car? really?","get a tesla with fsd and let it drive for you . the rest of the car do n't have anything to offer , they are the same , slightly different exterior , slightly different interior , period . who on earth need soft closing door ? ? ? is this your requirement for a luxury car ? really ?",0,2025-10-18T03:11:51Z,Tesla,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@Jeebz_010,Where is the Range Rover?,where is the range rover ?,0,2025-10-11T04:15:31Z,Range Rover,range
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@Cozy-yyy,Where is Range Rover?,where is range rover ?,0,2025-10-10T15:00:45Z,Range Rover,range
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@CuteAsianBeauties,i like the old cayenne look,i like the old cayenne look,1,2025-10-09T19:24:20Z,Other,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@markmadad1,Best to get the one you like. They all do the same thing and after watching the drag race they all go virtually the same speed. Had an X5 and Q7 now have VW which is a fantastic car!,best to get the one you like . they all do the same thing and after watching the drag race they all go virtually the same speed . had an x5 and q7 now have vw which is a fantastic car !,0,2025-10-04T00:13:28Z,Other,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@vvaro2926,Why so much hate for the touareg? It feels premium and is the most premium car from VW. And the last one has all u want in,why so much hate for the touareg ? it feel premium and is the most premium car from vw . and the last one ha all u want in,1,2025-10-03T20:41:26Z,Other,Other
